ID,Country,Trial_type,District,Crop,Treatment,Lime_rate,Yield(t/ha)
1,Ethiopia,Shotgun,Dedo,Maize,TS1,0,7.0457
2,Ethiopia,Shotgun,Dedo,Maize,TS2,1,7.8749
3,Ethiopia,Shotgun,Dedo,Maize,TS3,2.5,7.7502
4,Ethiopia,Shotgun,Dedo,Maize,TS4,7,8.6568
5,Ethiopia,Shotgun,Dedo,Maize,TS1,0,4.068
6,Ethiopia,Shotgun,Dedo,Maize,TS2,1,5.5319
7,Ethiopia,Shotgun,Dedo,Maize,TS3,2.5,6.4841
8,Ethiopia,Shotgun,Dedo,Maize,TS4,7,6.5226
9,Ethiopia,Shotgun,Omonada,Maize,TS1,0,5.8785
10,Ethiopia,Shotgun,Omonada,Maize,TS2,1,6.6949
11,Ethiopia,Shotgun,Omonada,Maize,TS3,2.5,7.2534
12,Ethiopia,Shotgun,Omonada,Maize,TS4,7,6.4283
13,Ethiopia,Shotgun,Omonada,Maize,TS1,0,7.3815
14,Ethiopia,Shotgun,Omonada,Maize,TS2,1,8.5843
15,Ethiopia,Shotgun,Omonada,Maize,TS3,2.5,8.3813
16,Ethiopia,Shotgun,Omonada,Maize,TS4,7,7.4872
17,Ethiopia,Shotgun,Omonada,Maize,TS1,0,6.7709
18,Ethiopia,Shotgun,Omonada,Maize,TS2,1,7.6866
19,Ethiopia,Shotgun,Omonada,Maize,TS3,2.5,9.3179
20,Ethiopia,Shotgun,Omonada,Maize,TS4,7,9.3062
21,Ethiopia,Shotgun,Omonada,Maize,TS1,0,6.0721
22,Ethiopia,Shotgun,Omonada,Maize,TS2,1,6.6396
23,Ethiopia,Shotgun,Omonada,Maize,TS3,2.5,6.9858
24,Ethiopia,Shotgun,Omonada,Maize,TS4,7,5.5016
25,Ethiopia,Shotgun,Omonada,Maize,TS1,0,6.2348
26,Ethiopia,Shotgun,Omonada,Maize,TS2,1,8.0915
27,Ethiopia,Shotgun,Omonada,Maize,TS3,2.5,8.6135
28,Ethiopia,Shotgun,Omonada,Maize,TS4,7,7.8833
29,Ethiopia,Shotgun,Omonada,Maize,TS1,0,6.029
30,Ethiopia,Shotgun,Omonada,Maize,TS2,1,6.965
31,Ethiopia,Shotgun,Omonada,Maize,TS3,2.5,7.2971
32,Ethiopia,Shotgun,Omonada,Maize,TS4,7,7.2413
33,Ethiopia,Shotgun,Kersa,Maize,TS1,0,5.8456
